"","Region.No.","X2008_A","X2009_A","X2010_A","X2011_A","X2012_A","X2013_A","X2014_A","X2008_B","X2009_B","X2010_B","X2011_B","X2012_B","X2013_B","X2014_B","X2008_C","X2009_C","X2010_C","X2011_C","X2012_C","X2013_C","X2014_C","X2008_D","X2009_D","X2010_D","X2011_D","X2012_D","X2013_D","X2014_D","X2008_E","X2009_E","X2010_E","X2011_E","X2012_E","X2013_E","X2014_E","X2008_F","X2009_F","X2010_F","X2011_F","X2012_F","X2013_F","X2014_F"
"11","Region11",320838,320795,320229,319780,313145,313341,314725,112,114,111,112,124,125,132,64.8,61.5,61.5,55.6,66.6,61.3,64.8,180.8,164.4,188.6,186.8,190.8,1.1,1.1,25.6,24.3,22,20.4,16.8,17.5,17.6,21.4,22.3,21.5,21.6,21.6,20.6,21.1
"12","Region12",4275802,4337979,4395569,4432418,4341240,4377487,4446354,1755,1799,1824,1798,1849,1866,1885,51.5,52.4,57.9,48.4,54.4,49.3,47.8,176.8,152.9,182.7,166,167.5,12.7,12.6,15.2,14.2,12.9,11.8,9.8,10,9.7,18.9,19.6,20.8,21.1,20.5,19.2,18.7
"13","Region13",5811390,5812962,5824662,5834056,5764424,5769750,5869965,2141,2151,2170,2096,2371,2447,2594,70.5,63.1,71.6,60,76.1,72.2,73.5,213.6,182.9,221.4,204.8,226.8,20.4,21.7,31.5,31.3,27.7,27.7,25,25,24.8,19.9,20.7,21.8,21.4,22.6,21.9,22.2
"14","Region14",513357,519800,524826,529457,524877,530308,536237,169,174,176,178,187,188,193,47.2,45.1,50.1,43.3,50.3,48.9,48.6,146.5,125.7,155.2,146.4,159,1.5,1.5,14.1,13.1,11.9,11.2,9.8,9.8,9.7,18.2,18.8,19.9,20.7,21.4,21,21.2
"15","Region15",884450,894222,900790,906486,883215,886239,896742,350,361,372,368,386,391,402,46,47,52.7,45.3,58.7,56.1,54,159.4,141.2,170.8,158.9,174.1,2.9,2.9,18.4,17.6,16.7,15.9,13.6,14.1,13.5,19.3,20.2,21.9,22.5,23.8,23.8,23.2
"16","Region16",2007707,2008709,2009330,2011395,1958418,1958238,1980533,788,791,796,780,836,866,901,91.8,86.6,90.7,68.4,78.1,76.5,76.9,243.2,208.9,241.4,228,249.6,8.2,8.4,30.7,28.2,24.9,22.9,21.2,21.7,21.8,27.2,27.7,27.4,22,23.3,22.7,22.3
"17","Region17",1609822,1615064,1615986,1616788,1567339,1565127,1591939,770,772,780,750,773,790,792,59.1,58.8,64,56,62.3,57.4,55.7,189.7,166.1,193.3,181.4,180.6,5.7,5.7,17.2,15.4,13.9,12.8,10.3,10.3,9.5,23.9,24.2,25.3,25.4,24.7,24.2,23.7
"18","Region18",591001,590601,588879,587517,577562,576194,578391,213,212,214,217,233,234,244,61,59.8,63.2,53.4,62.3,59.1,59.2,196.9,175.7,199,190.4,193.2,1.9,2,23.6,22.4,19.7,18.4,15.4,15.9,16,18,19.1,19.2,19.9,20.1,19.8,19.9
"19","Region19",1323987,1334675,1338898,1342366,1306416,1312507,1333939,531,524,535,530,563,583,612,61.8,60.4,69.3,58.6,69.2,63.7,64,194.1,171.1,205.3,185,191.3,4.5,4.6,23.6,22.1,20.5,18.7,15.9,16.8,16.8,30.1,31.8,34.5,35.1,33.6,32.7,31.3
"20","Region20",1553063,1569578,1559542,1565335,1540688,1545155,1553138,626,663,683,680,682,692,718,56.6,55.9,62.1,51.9,64.1,62.2,62.9,184.4,160.3,189.9,172.3,182,5.3,5.5,21.5,19.7,18.5,17.5,14.6,15.7,15.5,20.3,21.3,22.3,23,23.4,23.6,24.2
